Provincias	Comunidad autónoma de procedencia	Total
Cáceres	Cataluña	3,87
Cáceres	Comunitat Valenciana	3,71
Cáceres	Extremadura	14,47
Cáceres	Galicia	3,42
Cáceres	Madrid, Comunidad de	29,03
Cáceres	Murcia, Región de	1,1
Cáceres	Navarra, Comunidad Foral de	1,18
Cáceres	País Vasco	5,42
Cáceres	Rioja, La	0,57
Cáceres	Ceuta	0,18
Cáceres	Melilla	0,08
Cádiz	Total	100
Cádiz	Andalucía	59,23
Cádiz	Aragón	0,73
Cádiz	Asturias, Principado de	0,99
Cádiz	Balears, Illes	0,68
Cádiz	Canarias	0,88
Cádiz	Cantabria	0,66
Cádiz	Castilla y León	3,2
Cádiz	Castilla - La Mancha	2,36
Cádiz	Cataluña	4,1
Cádiz	Comunitat Valenciana	2,16
Cádiz	Extremadura	3,3
Cádiz	Galicia	1,38
Cádiz	Madrid, Comunidad de	15,71
Cádiz	Murcia, Región de	1,06
Cádiz	Navarra, Comunidad Foral de	0,44
Cádiz	País Vasco	2,11
Cádiz	Rioja, La	0,26
Cádiz	Ceuta	0,68
Cádiz	Melilla	0,09
Cantabria	Total	100
Cantabria	Andalucía	5,45
Cantabria	Aragón	2,56
Cantabria	Asturias, Principado de	5,13
Cantabria	Balears, Illes	0,85
Cantabria	Canarias	1,35
Cantabria	Cantabria	8,25
Cantabria	Castilla y León	15,62
Cantabria	Castilla - La Mancha	3,23
Cantabria	Cataluña	7,04
Cantabria	Comunitat Valenciana	3,95
Cantabria	Extremadura	1,4
Cantabria	Galicia	5,3
Cantabria	Madrid, Comunidad de	20,8
Cantabria	Murcia, Región de	1
Cantabria	Navarra, Comunidad Foral de	2,86
Cantabria	País Vasco	13
Cantabria	Rioja, La	2,11
Cantabria	Ceuta	0,06
Cantabria	Melilla	0,02
Castellón/Castelló	Total	100
Castellón/Castelló	Andalucía	3,41
Castellón/Castelló	Aragón	6,1
Castellón/Castelló	Asturias, Principado de	0,53
Castellón/Castelló	Balears, Illes	0,53
Castellón/Castelló	Canarias	0,33
Castellón/Castelló	Cantabria	0,42
Castellón/Castelló	Castilla y León	3,55
Castellón/Castelló	Castilla - La Mancha	4,49
Castellón/Castelló	Cataluña	14,69
Castellón/Castelló	Comunitat Valenciana	37,63
Castellón/Castelló	Extremadura	0,52
Castellón/Castelló	Galicia	1,21
Castellón/Castelló	Madrid, Comunidad de	19,04
Castellón/Castelló	Murcia, Región de	1,94
Castellón/Castelló	Navarra, Comunidad Foral de	1,51
Castellón/Castelló	País Vasco	2,93
Castellón/Castelló	Rioja, La	0,89
Castellón/Castelló	Ceuta	0,25
Castellón/Castelló	Melilla	0,01
Ciudad Real	Total	100
Ciudad Real	Andalucía	15,75
Ciudad Real	Aragón	1,61
Ciudad Real	Asturias, Principado de	1,11
Ciudad Real	Balears, Illes	0,74
Ciudad Real	Canarias	0,61
Ciudad Real	Cantabria	0,67
Ciudad Real	Castilla y León	3,35
Ciudad Real	Castilla - La Mancha	19,77
Ciudad Real	Cataluña	8,21
Ciudad Real	Comunitat Valenciana	9,69
Ciudad Real	Extremadura	2,92
Ciudad Real	Galicia	1,9
Ciudad Real	Madrid, Comunidad de	26,69
