Provincias	Residencia	Meses	Total
Cádiz	Total	Enero	2,12
Cádiz	Total	Febrero	2,16
Cádiz	Total	Marzo	2,41
Cádiz	Total	Abril	2,58
Cádiz	Total	Mayo	2,57
Cádiz	Total	Junio	2,86
Cádiz	Total	Julio	3,18
Cádiz	Total	Agosto	3,57
Cádiz	Total	Septiembre	3,08
Cádiz	Total	Octubre	2,91
Cádiz	Total	Noviembre	2,31
Cádiz	Total	Diciembre	2,1
Cádiz	Residentes en España	Total	2,59
Cádiz	Residentes en España	Enero	1,81
Cádiz	Residentes en España	Febrero	1,86
Cádiz	Residentes en España	Marzo	1,92
Cádiz	Residentes en España	Abril	2,29
Cádiz	Residentes en España	Mayo	2,16
Cádiz	Residentes en España	Junio	2,48
Cádiz	Residentes en España	Julio	3,05
Cádiz	Residentes en España	Agosto	3,59
Cádiz	Residentes en España	Septiembre	2,76
Cádiz	Residentes en España	Octubre	2,33
Cádiz	Residentes en España	Noviembre	2,04
Cádiz	Residentes en España	Diciembre	1,97
Cádiz	No residentes en España	Total	3,5
Cádiz	No residentes en España	Enero	3
Cádiz	No residentes en España	Febrero	3,04
Cádiz	No residentes en España	Marzo	3,46
Cádiz	No residentes en España	Abril	3,21
Cádiz	No residentes en España	Mayo	3,48
Cádiz	No residentes en España	Junio	3,81
Cádiz	No residentes en España	Julio	3,6
Cádiz	No residentes en España	Agosto	3,53
Cádiz	No residentes en España	Septiembre	3,72
Cádiz	No residentes en España	Octubre	3,78
Cádiz	No residentes en España	Noviembre	2,97
Cádiz	No residentes en España	Diciembre	2,49
Cantabria	Total	Total	2,27
Cantabria	Total	Enero	1,94
Cantabria	Total	Febrero	1,87
Cantabria	Total	Marzo	2,12
Cantabria	Total	Abril	2,12
Cantabria	Total	Mayo	2,14
Cantabria	Total	Junio	2,28
Cantabria	Total	Julio	2,47
Cantabria	Total	Agosto	2,69
Cantabria	Total	Septiembre	2,21
Cantabria	Total	Octubre	2,23
Cantabria	Total	Noviembre	1,97
Cantabria	Total	Diciembre	1,94
Cantabria	Residentes en España	Total	2,23
Cantabria	Residentes en España	Enero	1,76
Cantabria	Residentes en España	Febrero	1,72
Cantabria	Residentes en España	Marzo	1,9
Cantabria	Residentes en España	Abril	1,99
Cantabria	Residentes en España	Mayo	2,02
Cantabria	Residentes en España	Junio	2,16
Cantabria	Residentes en España	Julio	2,46
Cantabria	Residentes en España	Agosto	2,77
Cantabria	Residentes en España	Septiembre	2,26
Cantabria	Residentes en España	Octubre	2,23
Cantabria	Residentes en España	Noviembre	1,92
Cantabria	Residentes en España	Diciembre	1,89
Cantabria	No residentes en España	Total	2,43
Cantabria	No residentes en España	Enero	2,89
Cantabria	No residentes en España	Febrero	2,9
Cantabria	No residentes en España	Marzo	3,19
Cantabria	No residentes en España	Abril	2,69
Cantabria	No residentes en España	Mayo	2,43
Cantabria	No residentes en España	Junio	2,62
Cantabria	No residentes en España	Julio	2,54
Cantabria	No residentes en España	Agosto	2,33
Cantabria	No residentes en España	Septiembre	2,08
Cantabria	No residentes en España	Octubre	2,2
Cantabria	No residentes en España	Noviembre	2,25
Cantabria	No residentes en España	Diciembre	2,23
Castellón/Castelló	Total	Total	2,94
Castellón/Castelló	Total	Enero	1,87
Castellón/Castelló	Total	Febrero	1,9
Castellón/Castelló	Total	Marzo	2,54
Castellón/Castelló	Total	Abril	2,67
Castellón/Castelló	Total	Mayo	2,65
Castellón/Castelló	Total	Junio	2,91
Castellón/Castelló	Total	Julio	3,47
Castellón/Castelló	Total	Agosto	3,72
Castellón/Castelló	Total	Septiembre	3,37
Castellón/Castelló	Total	Octubre	2,58
Castellón/Castelló	Total	Noviembre	2,15
Castellón/Castelló	Total	Diciembre	1,99
Castellón/Castelló	Residentes en España	Total	2,97
Castellón/Castelló	Residentes en España	Enero	1,75
Castellón/Castelló	Residentes en España	Febrero	1,73
Castellón/Castelló	Residentes en España	Marzo	2,51
Castellón/Castelló	Residentes en España	Abril	2,63
Castellón/Castelló	Residentes en España	Mayo	2,64
Castellón/Castelló	Residentes en España	Junio	2,93
Castellón/Castelló	Residentes en España	Julio	3,61
Castellón/Castelló	Residentes en España	Agosto	3,86
Castellón/Castelló	Residentes en España	Septiembre	3,39
Castellón/Castelló	Residentes en España	Octubre	2,49
Castellón/Castelló	Residentes en España	Noviembre	2,17
Castellón/Castelló	Residentes en España	Diciembre	1,92
Castellón/Castelló	No residentes en España	Total	2,79
Castellón/Castelló	No residentes en España	Enero	2,29
Castellón/Castelló	No residentes en España	Febrero	2,46
Castellón/Castelló	No residentes en España	Marzo	2,67
Castellón/Castelló	No residentes en España	Abril	2,9
Castellón/Castelló	No residentes en España	Mayo	2,72
Castellón/Castelló	No residentes en España	Junio	2,83
Castellón/Castelló	No residentes en España	Julio	2,68
Castellón/Castelló	No residentes en España	Agosto	2,99
Castellón/Castelló	No residentes en España	Septiembre	3,27
Castellón/Castelló	No residentes en España	Octubre	2,91
Castellón/Castelló	No residentes en España	Noviembre	2,08
Castellón/Castelló	No residentes en España	Diciembre	2,28
Ciudad Real	Total	Total	1,7
Ciudad Real	Total	Enero	1,66
Ciudad Real	Total	Febrero	1,68
Ciudad Real	Total	Marzo	1,62
Ciudad Real	Total	Abril	1,71
Ciudad Real	Total	Mayo	1,76
Ciudad Real	Total	Junio	1,68
Ciudad Real	Total	Julio	1,65
Ciudad Real	Total	Agosto	1,7
Ciudad Real	Total	Septiembre	1,73
Ciudad Real	Total	Octubre	1,76
Ciudad Real	Total	Noviembre	1,75
Ciudad Real	Total	Diciembre	1,58
Ciudad Real	Residentes en España	Total	1,68
Ciudad Real	Residentes en España	Enero	1,65
Ciudad Real	Residentes en España	Febrero	1,67
Ciudad Real	Residentes en España	Marzo	1,61
Ciudad Real	Residentes en España	Abril	1,69
Ciudad Real	Residentes en España	Mayo	1,72
Ciudad Real	Residentes en España	Junio	1,64
Ciudad Real	Residentes en España	Julio	1,62
Ciudad Real	Residentes en España	Agosto	1,72
Ciudad Real	Residentes en España	Septiembre	1,73
Ciudad Real	Residentes en España	Octubre	1,77
Ciudad Real	Residentes en España	Noviembre	1,71
Ciudad Real	Residentes en España	Diciembre	1,59
Ciudad Real	No residentes en España	Total	1,82
Ciudad Real	No residentes en España	Enero	1,74
Ciudad Real	No residentes en España	Febrero	1,8
Ciudad Real	No residentes en España	Marzo	1,77
Ciudad Real	No residentes en España	Abril	1,98
Ciudad Real	No residentes en España	Mayo	2,08
Ciudad Real	No residentes en España	Junio	1,99
Ciudad Real	No residentes en España	Julio	1,86
Ciudad Real	No residentes en España	Agosto	1,54
Ciudad Real	No residentes en España	Septiembre	1,76
Ciudad Real	No residentes en España	Octubre	1,69
Ciudad Real	No residentes en España	Noviembre	2,07
Ciudad Real	No residentes en España	Diciembre	1,57
Córdoba	Total	Total	1,73
Córdoba	Total	Enero	1,75
Córdoba	Total	Febrero	1,75
Córdoba	Total	Marzo	1,7
Córdoba	Total	Abril	1,73
Córdoba	Total	Mayo	1,76
Córdoba	Total	Junio	1,67
Córdoba	Total	Julio	1,75
Córdoba	Total	Agosto	1,81
Córdoba	Total	Septiembre	1,64
Córdoba	Total	Octubre	1,71
Córdoba	Total	Noviembre	1,71
Córdoba	Total	Diciembre	1,78
Córdoba	Residentes en España	Total	1,76
Córdoba	Residentes en España	Enero	1,73
Córdoba	Residentes en España	Febrero	1,75
Córdoba	Residentes en España	Marzo	1,69
Córdoba	Residentes en España	Abril	1,81
Córdoba	Residentes en España	Mayo	1,83
Córdoba	Residentes en España	Junio	1,69
Córdoba	Residentes en España	Julio	1,79
Córdoba	Residentes en España	Agosto	1,86
Córdoba	Residentes en España	Septiembre	1,62
Córdoba	Residentes en España	Octubre	1,76
Córdoba	Residentes en España	Noviembre	1,74
Córdoba	Residentes en España	Diciembre	1,82
Córdoba	No residentes en España	Total	1,67
Córdoba	No residentes en España	Enero	1,8
Córdoba	No residentes en España	Febrero	1,74
Córdoba	No residentes en España	Marzo	1,73
Córdoba	No residentes en España	Abril	1,6
Córdoba	No residentes en España	Mayo	1,66
Córdoba	No residentes en España	Junio	1,63
Córdoba	No residentes en España	Julio	1,68
Córdoba	No residentes en España	Agosto	1,72
Córdoba	No residentes en España	Septiembre	1,67
Córdoba	No residentes en España	Octubre	1,64
Córdoba	No residentes en España	Noviembre	1,63
Córdoba	No residentes en España	Diciembre	1,68
Coruña, A	Total	Total	1,82
Coruña, A	Total	Enero	1,87
Coruña, A	Total	Febrero	1,8
